DATE,chargeback,error,refused,success
2025-05-21,0,0,0,36
2025-05-22,0,14,7,53
2025-05-23,1,12,6,78
2025-05-24,0,14,7,85
2025-05-25,0,4,2,59
2025-05-26,0,8,4,66
2025-05-27,0,4,4,76
2025-05-28,0,14,7,66
2025-05-29,0,12,7,63
2025-05-30,0,0,0,27
2025-06-22,0,18,9,38
2025-06-23,0,20,12,30
2025-06-24,1,31,15,47
2025-06-25,1,20,18,44
2025-06-26,0,8,11,33
2025-06-27,0,26,25,43
2025-06-28,1,14,18,53
2025-06-29,0,22,24,29
2025-06-30,0,26,36,50
2025-07-01,0,0,18,0
2025-07-02,0,0,19,2
2025-07-03,0,0,27,3
2025-07-04,0,0,16,1
2025-07-05,1,0,17,1
2025-07-06,0,0,24,1
2025-07-07,0,0,16,0
2025-07-08,0,0,16,1
2025-07-09,0,0,24,1
2025-07-10,0,0,15,0
2025-07-11,0,0,15,0
2025-07-12,0,0,24,0
2025-07-13,0,0,15,0
2025-07-14,0,0,16,0
2025-07-15,0,0,23,0
2025-07-16,0,0,16,0
2025-07-17,0,0,15,0
2025-07-18,0,0,22,1
2025-07-19,0,2,15,0
2025-07-20,0,0,1,0
