TRANSACTION_ID,POLICY_PUBLIC_ID,QUOTE_PUBLIC_ID,USER_PUBLIC_ID,INVOICE_PUBLIC_ID,TRANSACTION_STATUS,INVOICE_STATUS,CHARGE_CATEGORY,PRODUCT,SUBSCRIPTION_INTERVAL,PROCESSOR,PROVIDER_TYPE,IS_GATEWAY,ATTEMPT_NUMBER,AMOUNT,CURRENCY,PROVIDER_METHOD_TYPE,CREDIT_CARD_BRAND,ERROR_MESSAGE,TRANSACTION_PROCESSING_STARTED_AT,INVOICE_CREATED_AT
57640543,LPP55#####793,LPQ317#####2626,LU9D#####EB2,LINV-#####KunDQX,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,41.88,usd,apple_pay,Visa,Your card was declined for making repeated attempts too frequently or exceeding its amount limit.,2025-07-09 13:42:10,2025-06-27 13:41:57
57662272,LPP43#####961,LPQ136#####4172,LU72#####CC4,LINV-#####_mKcYa,refused,paid,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,33.33,usd,apple_pay,MasterCard,Your card has insufficient funds.,2025-07-09 15:12:06,2025-06-24 15:11:53
57588354,LPP60#####485,LPQ260#####0261,LU49#####384,LINV-#####nZZzSS,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,25.75,usd,apple_pay,Visa,Your card does not support this type of purchase.,2025-07-09 9:44:46,2025-06-27 9:44:33
58536501,LPP88#####164,LPQ807#####9018,LU7D#####864,LINV-#####zDaWrt,refused,error,dunning transaction,pet,monthly,stripe,spreedly_stripe,True,1,65.36,usd,apple_pay,Visa,Your card was declined.,2025-07-16 10:09:02,2025-06-22 10:08:49
58542538,LPP31#####099,LPQ037#####4061,LU12#####E01,LINV-#####XgTrLb,refused,error,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,99.03,usd,apple_pay,American Express,Refused | 100 : Deny,2025-07-16 10:33:50,2025-06-23 14:49:35
58564993,LPP57#####768,LPQ835#####5806,LU5E#####247,LINV-#####wLmsmV,refused,error,dunning transaction,pet,monthly,adyen,spreedly_adyen,True,1,41.81,usd,apple_pay,Visa,Blocked Card | 43 : Stolen card,2025-07-16 12:08:50,2025-06-25 12:08:40
51865133,LPP23#####119,LPQ268#####3878,LU37#####105,LINV-#####TT4nwJ,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,56.13,usd,apple_pay,Visa,,2025-05-24 21:36:54,2025-05-24 21:36:54
51866897,LPP09#####284,LPQ743#####0446,LU12#####801,LINV-#####Jo12_t,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,66.12,usd,apple_pay,American Express,,2025-05-25 0:07:56,2025-05-25 0:07:56
55536676,LPP67#####797,LPQ134#####3985,LU39#####B05,LINV-#####Aa19p5,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,51.52,usd,apple_pay,MasterCard,,2025-06-24 15:22:38,2025-06-24 15:22:38
55537740,LPP79#####496,LPQ810#####4580,LU29#####E06,LINV-#####bDFG7f,error,paid,recurring transaction,pet,monthly,cko,spreedly_cko,True,1,35.33,usd,apple_pay,Visa,Insufficient Funds,2025-06-24 15:27:25,2025-06-24 15:27:24
55529864,LPP94#####385,LPQ727#####9231,LU81#####699,LINV-#####ZyJiXP,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,59.07,usd,apple_pay,MasterCard,,2025-06-24 14:46:10,2025-06-24 14:46:10
55883082,LPP59#####373,LPQ064#####5997,LU5E#####047,LINV-#####aHJ0rj,refused,error,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,3,24.83,usd,apple_pay,Visa,Not enough balance | 51 : Insufficient funds/over credit limit,2025-06-27 13:46:33,2025-06-27 13:46:33
55534767,LPP82#####104,LPQ301#####7148,LU5D#####CC7,LINV-#####ImiZny,success,paid,recurring transaction,pet,monthly,cko,spreedly_cko,True,1,43.99,usd,apple_pay,American Express,,2025-06-24 15:12:54,2025-06-24 15:12:54
55467170,LPP43#####724,LPQ141#####8279,LU5E#####447,LINV-#####c-qVE7,error,paid,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,93.55,usd,apple_pay,Visa,Invalid account.,2025-06-24 9:38:32,2025-06-24 9:38:32
55458287,LPP44#####749,LPQ509#####3486,LU7D#####AC4,LINV-#####McAnhb,success,paid,recurring transaction,pet,monthly,adyen,spreedly_adyen,True,1,17.5,usd,apple_pay,MasterCard,,2025-06-24 8:44:53,2025-06-24 8:44:52
55784594,LPP45#####550,LPQ338#####9104,LU12#####081,LINV-#####_tVj8g,refused,paid,recurring transaction,pet,monthly,cko,spreedly_cko,True,3,74.61,usd,apple_pay,Visa,Insufficient Funds,2025-06-26 15:35:42,2025-06-26 15:35:42
55760406,LPP05#####658,LPQ098#####5397,LU81#####FF9,LINV-#####3-mim7,error,error,recurring transaction,pet,monthly,stripe,spreedly_stripe,True,1,92.43,usd,apple_pay,MasterCard,Your card has insufficient funds.,2025-06-26 13:56:58,2025-06-26 13:56:57
52404682,LPP23#####123,LPQ519#####3112,LU5E#####447,LINV-#####vz_IsQ,success,paid,new policy transaction,pet,monthly,adyen,spreedly_adyen,True,1,48.52,usd,apple_pay,Visa,,2025-05-29 16:56:41,2025-05-29 16:56:40
52189449,,LPQ177#####0361,LU8E#####659,LINV-#####xrY7nX,refused,canceled,new policy transaction,pet,monthly,cko,spreedly_cko,True,3,60.46,usd,apple_pay,Visa,Declined - Do Not Honour,2025-05-28 3:22:01,2025-05-28 3:22:01
52183464,LPP11#####987,LPQ089#####9827,LU12#####641,LINV-#####9jelYo,success,paid,new policy transaction,pet,monthly,stripe,spreedly_stripe,True,1,54.27,usd,apple_pay,American Express,,2025-05-28 0:30:14,2025-05-28 0:30:14
