PROCESSOR,CREDIT_CARD_BRAND,ApplePay_SuccessRate,Card_SuccessRate
adyen,American Express,0.8461538461538461,0.8482142857142857
adyen,Discover,0.6,0.8666666666666667
adyen,MasterCard,0.6368715083798883,0.5420875420875421
adyen,Visa,0.534965034965035,0.7393117831074035
cko,American Express,0.8333333333333334,0.7027027027027027
cko,Discover,0.375,0.75
cko,MasterCard,0.26666666666666666,0.323943661971831
cko,Visa,0.28125,0.45794392523364486
stripe,American Express,0.8292682926829268,0.8725490196078431
stripe,Discover,0.7777777777777778,0.8780487804878049
stripe,MasterCard,0.686046511627907,0.5162393162393163
stripe,Visa,0.5394736842105263,0.7279735682819384
